staff_id,department,doctor_name,gender,qualifications,email,phone,specialization,shift_start,shift_end,work_days,shift_type,slot_duration,max_patients
DOC012,Gastroenterology,Dr. Ann George,Female,"MBBS, MD, DM",dranngeorge@bmh.com,+91 8527937453,Gastroenterology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC013,Ophthalmology,Dr. Aiswarya Eapen,Female,"MBBS, MD",draiswaryaeapen@bmh.com,+91 9650357335,Ophthalmology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC014,Cardiology,Dr. Sophy Chacko,Female,"MBBS, MD, DM",drsophychacko@bmh.com,+91 7681237695,Cardiology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC015,Dermatology,Dr. Parvathy Warrier,Female,"MBBS, MD",drparvathywarrier@bmh.com,+91 8040584875,Dermatology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC016,Endocrinology,Dr. Jitin Eapen,Male,"MBBS, MD",drjitineapen@bmh.com,+91 7925444531,Endocrinology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC017,Radiology,Dr. Sreelekshmi Warrier,Female,"MBBS, MD",drsreelekshmiwarrier@bmh.com,+91 7605812395,Radiology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC018,Dermatology,Dr. Kavya Joseph,Female,"MBBS, MD",drkavyajoseph@bmh.com,+91 8936041283,Dermatology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC019,Pathology,Dr. Manu Faisal,Male,"MBBS, MD",drmanufaisal@bmh.com,+91 9881451683,Pathology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC020,General Surgery,Dr. Varghese Thomas,Male,"MBBS, MD",drvarghesethomas@bmh.com,+91 9008619805,General Surgery,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC021,Neurosciences,Dr. Thomas Cherian,Male,"MBBS, MS, MCh",drthomascherian@bmh.com,+91 9280140740,Neurosciences,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC022,ENT,Dr. Lakshmi Samuel,Female,"MBBS, MD",drlakshmisamuel@bmh.com,+91 9807160532,ENT,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC023,Ophthalmology,Dr. Vishal Nambiar,Male,"MBBS, MD",drvishalnambiar@bmh.com,+91 9130981023,Ophthalmology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC024,Psychiatry,Dr. Ann Siddique,Female,"MBBS, MD",drannsiddique@bmh.com,+91 9280270472,Psychiatry,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC025,Pulmonology,Dr. Aiswarya Siddique,Female,"MBBS, MD",draiswaryasiddique@bmh.com,+91 8424873754,Pulmonology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC026,General Medicine,Dr. Sumayya Kurian,Female,"MBBS, MD",drsumayyakurian@bmh.com,+91 8855964051,General Medicine,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC027,Emergency,Dr. Remya Chacko,Female,"MBBS, MD",drremyachacko@bmh.com,+91 9216566670,Emergency,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC028,Pulmonology,Dr. Mohammed Thampi,Male,"MBBS, MD",drmohammedthampi@bmh.com,+91 8689282019,Pulmonology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC029,Orthopaedics,Dr. Mohammed Menon,Male,"MBBS, MD",drmohammedmenon@bmh.com,+91 9816165215,Orthopaedics,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC030,Child Care (Paediatrics),Dr. Tessa Eapen,Female,"MBBS, MS",drtessaeapen@bmh.com,+91 8663720485,Child Care (Paediatrics),06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC031,Women's Care (Obstetrics & Gynaecology),Dr. Aswathy Pillai,Female,"MBBS, MD",draswathypillai@bmh.com,+91 9593104082,Women's Care (Obstetrics & Gynaecology),12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC032,Dental,Dr. George Eapen,Male,"MBBS, MS",drgeorgeeapen@bmh.com,+91 7489549606,Dental,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC033,Pathology,Dr. Anupama Panicker,Female,"MBBS, MD",dranupamapanicker@bmh.com,+91 9546617607,Pathology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC034,Urology,Dr. Greeshma Siddique,Female,"MBBS, MD",drgreeshmasiddique@bmh.com,+91 7778392905,Urology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC035,Critical Care,Dr. Aneesh Faisal,Male,"MBBS, MS",draneeshfaisal@bmh.com,+91 8348842534,Critical Care,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC036,Dental,Dr. Mary Thomas,Female,"MBBS, MD",drmarythomas@bmh.com,+91 8380985080,Dental,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC037,Oncology,Dr. Lakshmi Chacko,Female,"MBBS, MD, DM",drlakshmichacko@bmh.com,+91 7688842680,Oncology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC038,Endocrinology,Dr. Greeshma Rahman,Female,"MBBS, MS",drgreeshmarahman@bmh.com,+91 7148978377,Endocrinology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC039,Oncology,Dr. Sophy Pillai,Female,"MBBS, MD, DM",drsophypillai@bmh.com,+91 7818282522,Oncology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC040,Anaesthesiology,Dr. Tessa Cherian,Female,"MBBS, MD",drtessacherian@bmh.com,+91 7858422472,Anaesthesiology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC041,Critical Care,Dr. Leelamma Eapen,Female,"MBBS, MD",drleelammaeapen@bmh.com,+91 8804294719,Critical Care,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC042,Ophthalmology,Dr. Leelamma Joseph,Female,"MBBS, MD",drleelammajoseph@bmh.com,+91 9444542648,Ophthalmology,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC043,Nephrology,Dr. Mariamma Abraham,Female,"MBBS, MD, DM",drmariammaabraham@bmh.com,+91 9681340327,Nephrology,06:00,12:00,"Mon,Tue,Wed,Thu,Fri",Morning,15,30
DOC044,Neurosciences,Dr. Antony Varghese,Male,"MBBS, MD, DM",drantonyvarghese@bmh.com,+91 8150202612,Neurosciences,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC045,Psychiatry,Dr. Siddharth Panicker,Male,"MBBS, MS",drsiddharthpanicker@bmh.com,+91 7041290862,Psychiatry,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC046,General Surgery,Dr. Parvathy Joseph,Female,"MBBS, MS",drparvathyjoseph@bmh.com,+91 9678444212,General Surgery,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC047,Anaesthesiology,Dr. Pranav Samuel,Male,"MBBS, MD",drpranavsamuel@bmh.com,+91 9370532228,Anaesthesiology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC048,Critical Care,Dr. Rahul Samuel,Male,"MBBS, MD",drrahulsamuel@bmh.com,+91 8460224523,Critical Care,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC049,Psychiatry,Dr. Sanjay Abraham,Male,"MBBS, MS",drsanjayabraham@bmh.com,+91 9468482296,Psychiatry,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC050,Oncology,Dr. Sophy George,Female,"MBBS, MD, DM",drsophygeorge@bmh.com,+91 8495017269,Oncology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC051,Cardiology,Dr. Varghese Nair,Male,"MBBS, MS, MCh",drvarghesenair@bmh.com,+91 9574434956,Cardiology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC052,Nephrology,Dr. Antony Philip,Male,"MBBS, MD, DM",drantonyphilip@bmh.com,+91 8541800607,Nephrology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC053,General Medicine,Dr. Kiran Hashim,Male,"MBBS, MD",drkiranhashim@bmh.com,+91 8824914975,General Medicine,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC054,Oncology,Dr. Siddharth Eapen,Male,"MBBS, MD, DM",drsiddhartheapen@bmh.com,+91 8182996489,Oncology,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC055,Women's Care (Obstetrics & Gynaecology),Dr. Faisal Kurup,Male,"MBBS, MS",drfaisalkurup@bmh.com,+91 9149054926,Women's Care (Obstetrics & Gynaecology),18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC056,Cardiology,Dr. Sreelekshmi Faisal,Female,"MBBS, MD, DM",drsreelekshmifaisal@bmh.com,+91 7289255105,Cardiology,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC057,Child Care (Paediatrics),Dr. Jitin Nambiar,Male,"MBBS, MD",drjitinnambiar@bmh.com,+91 7903671803,Child Care (Paediatrics),12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC058,General Surgery,Dr. Varghese Rahman,Male,"MBBS, MD",drvargheserahman@bmh.com,+91 7039062033,General Surgery,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC059,Radiology,Dr. Nithin Nair,Male,"MBBS, MD",drnithinnair@bmh.com,+91 8444087281,Radiology,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC060,Ophthalmology,Dr. Siddharth Abraham,Male,"MBBS, MD",drsiddharthabraham@bmh.com,+91 8488113880,Ophthalmology,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC061,Orthopaedics,Dr. Sherly Pillai,Female,"MBBS, MD",drsherlypillai@bmh.com,+91 7351402764,Orthopaedics,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC062,Ophthalmology,Dr. Aneesh Philip,Male,"MBBS, MS",draneeshphilip@bmh.com,+91 7942056231,Ophthalmology,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC063,Cardiology,Dr. Jitin Chacko,Male,"MBBS, MD, DM",drjitinchacko@bmh.com,+91 7591354435,Cardiology,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC064,Psychiatry,Dr. Rohan George,Male,"MBBS, MD",drrohangeorge@bmh.com,+91 8444431247,Psychiatry,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC065,Neurosciences,Dr. Sreelekshmi Cherian,Female,"MBBS, MD, DM",drsreelekshmicherian@bmh.com,+91 7099422716,Neurosciences,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC066,Orthopaedics,Dr. Devika Ibrahim,Female,"MBBS, MS",drdevikaibrahim@bmh.com,+91 7204746648,Orthopaedics,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC067,Dermatology,Dr. Rohan Rahman,Male,"MBBS, MD",drrohanrahman@bmh.com,+91 9998695973,Dermatology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC068,Nephrology,Dr. Sherly Philip,Female,"MBBS, MD, DM",drsherlyphilip@bmh.com,+91 9866504813,Nephrology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC069,Oncology,Dr. Sreelekshmi Varghese,Female,"MBBS, MD, DM",drsreelekshmivarghese@bmh.com,+91 9857988073,Oncology,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC070,Dental,Dr. Sherly Cherian,Female,"MBBS, MD",drsherlycherian@bmh.com,+91 9516858325,Dental,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC071,Neurosciences,Dr. Siddharth Siddique,Male,"MBBS, MD, DM",drsiddharthsiddique@bmh.com,+91 7197227724,Neurosciences,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC072,Dermatology,Dr. Abhilash Faisal,Male,"MBBS, MD",drabhilashfaisal@bmh.com,+91 7579607351,Dermatology,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC073,Dental,Dr. Jitin George,Male,"MBBS, MD",drjitingeorge@bmh.com,+91 8557584829,Dental,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC074,Ophthalmology,Dr. Aiswarya Cherian,Female,"MBBS, MD",draiswaryacherian@bmh.com,+91 7581006201,Ophthalmology,18:00,23:59,"Sun,Mon,Tue,Wed,Thu",Evening,15,30
DOC075,Anaesthesiology,Dr. Siddharth Siddique,Male,"MBBS, MD",drsiddharthsiddique@bmh.com,+91 9690295705,Anaesthesiology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC076,Dermatology,Dr. Jitin Thomas,Male,"MBBS, MD",drjitinthomas@bmh.com,+91 7869595518,Dermatology,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC077,Neurosciences,Dr. Thomas Abraham,Male,"MBBS, MS, MCh",drthomasabraham@bmh.com,+91 8851572578,Neurosciences,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC078,Nephrology,Dr. Ann Nambiar,Female,"MBBS, MD, DM",drannnambiar@bmh.com,+91 8853872753,Nephrology,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC079,Emergency,Dr. Jitin Warrier,Male,"MBBS, MS",drjitinwarrier@bmh.com,+91 8086435590,Emergency,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC080,Nephrology,Dr. Kavya Cherian,Female,"MBBS, MD, DM",drkavyacherian@bmh.com,+91 9471280576,Nephrology,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC081,Pathology,Dr. Rohan Nair,Male,"MBBS, MD",drrohannair@bmh.com,+91 8155961092,Pathology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC082,Ophthalmology,Dr. Kiran Hashim,Male,"MBBS, MD",drkiranhashim@bmh.com,+91 7592338885,Ophthalmology,00:00,06:00,"Mon,Tue,Wed,Thu,Fri",Night,15,30
DOC083,Ophthalmology,Dr. Midhun Kurian,Male,"MBBS, MD",drmidhunkurian@bmh.com,+91 7908097805,Ophthalmology,06:00,12:00,"Tue,Wed,Thu,Fri,Sat",Morning,15,30
DOC084,Ophthalmology,Dr. Remya Panicker,Female,"MBBS, MS",drremyapanicker@bmh.com,+91 7102802162,Ophthalmology,12:00,18:00,"Wed,Thu,Fri,Sat,Sun",Afternoon,15,30
DOC085,Orthopaedics,Dr. Jitin Faisal,Male,"MBBS, MS",drjitinfaisal@bmh.com,+91 9024242772,Orthopaedics,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC086,Urology,Dr. Kavya Cherian,Female,"MBBS, MD",drkavyacherian@bmh.com,+91 8611622737,Urology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC087,General Medicine,Dr. Anjali Samuel,Female,"MBBS, MS",dranjalisamuel@bmh.com,+91 9660396397,General Medicine,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC088,Dermatology,Dr. Mohammed Philip,Male,"MBBS, MS",drmohammedphilip@bmh.com,+91 7744181783,Dermatology,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC089,Nephrology,Dr. Leelamma Kurian,Female,"MBBS, MD, DM",drleelammakurian@bmh.com,+91 7693867117,Nephrology,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC090,Dental,Dr. Jitin Thampi,Male,"MBBS, MD",drjitinthampi@bmh.com,+91 9420596578,Dental,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC091,General Surgery,Dr. Kiran Mathew,Male,"MBBS, MD",drkiranmathew@bmh.com,+91 9848784390,General Surgery,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC092,Women's Care (Obstetrics & Gynaecology),Dr. Dhanya Menon,Female,"MBBS, MS",drdhanyamenon@bmh.com,+91 9115687226,Women's Care (Obstetrics & Gynaecology),00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC093,ENT,Dr. Anjali George,Female,"MBBS, MS",dranjaligeorge@bmh.com,+91 9749055198,ENT,12:00,18:00,"Tue,Wed,Thu,Fri,Sat",Afternoon,15,30
DOC094,Ophthalmology,Dr. Leelamma Mathew,Female,"MBBS, MD",drleelammamathew@bmh.com,+91 7662566147,Ophthalmology,18:00,23:59,"Thu,Fri,Sat,Sun,Mon",Evening,15,30
DOC095,Gastroenterology,Dr. Mathew Ibrahim,Male,"MBBS, MD, DM",drmathewibrahim@bmh.com,+91 9764476410,Gastroenterology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC096,Endocrinology,Dr. Sreelekshmi Kurup,Female,"MBBS, MS",drsreelekshmikurup@bmh.com,+91 8454981303,Endocrinology,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC097,Dermatology,Dr. Fathima Ibrahim,Female,"MBBS, MS",drfathimaibrahim@bmh.com,+91 7740555237,Dermatology,18:00,23:59,"Sun,Mon,Tue,Wed,Thu",Evening,15,30
DOC098,Psychiatry,Dr. Pranav Siddique,Male,"MBBS, MS",drpranavsiddique@bmh.com,+91 8109902284,Psychiatry,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC099,Dental,Dr. Rahul Philip,Male,"MBBS, MD",drrahulphilip@bmh.com,+91 7117181120,Dental,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC100,Emergency,Dr. Aswathy Ibrahim,Female,"MBBS, MD",draswathyibrahim@bmh.com,+91 9560048673,Emergency,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC101,General Surgery,Dr. Tessa Cherian,Female,"MBBS, MD",drtessacherian@bmh.com,+91 9884971224,General Surgery,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC102,ENT,Dr. Thomas Faisal,Male,"MBBS, MD",drthomasfaisal@bmh.com,+91 9043573994,ENT,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC103,General Medicine,Dr. Fathima Kurup,Female,"MBBS, MD",drfathimakurup@bmh.com,+91 9472337935,General Medicine,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC104,Women's Care (Obstetrics & Gynaecology),Dr. Devika Cherian,Female,"MBBS, MS",drdevikacherian@bmh.com,+91 7737997869,Women's Care (Obstetrics & Gynaecology),06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC105,Dental,Dr. Rahul Cherian,Male,"MBBS, MS",drrahulcherian@bmh.com,+91 7155848330,Dental,18:00,23:59,"Sun,Mon,Tue,Wed,Thu",Evening,15,30
DOC106,Oncology,Dr. George Nambiar,Male,"MBBS, MS, MCh",drgeorgenambiar@bmh.com,+91 9016905955,Oncology,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC107,Critical Care,Dr. Sophy Nair,Female,"MBBS, MS",drsophynair@bmh.com,+91 8111029470,Critical Care,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC108,Critical Care,Dr. Manu Hashim,Male,"MBBS, MS",drmanuhashim@bmh.com,+91 9179226384,Critical Care,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC109,Radiology,Dr. Lakshmi Kurup,Female,"MBBS, MD",drlakshmikurup@bmh.com,+91 8580628481,Radiology,18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC110,Child Care (Paediatrics),Dr. Mary George,Female,"MBBS, MS",drmarygeorge@bmh.com,+91 9590217916,Child Care (Paediatrics),18:00,23:59,"Wed,Thu,Fri,Sat,Sun",Evening,15,30
DOC111,Ophthalmology,Dr. Sneha Nair,Female,"MBBS, MD",drsnehanair@bmh.com,+91 8202625568,Ophthalmology,00:00,06:00,"Fri,Sat,Sun,Mon,Tue",Night,15,30
DOC112,General Surgery,Dr. Manu Faisal,Male,"MBBS, MD",drmanufaisal@bmh.com,+91 8549823958,General Surgery,18:00,23:59,"Sun,Mon,Tue,Wed,Thu",Evening,15,30
DOC113,Urology,Dr. Aiswarya Philip,Female,"MBBS, MD",draiswaryaphilip@bmh.com,+91 9854890832,Urology,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC114,Ophthalmology,Dr. Sreelekshmi Chacko,Female,"MBBS, MD",drsreelekshmichacko@bmh.com,+91 8902305520,Ophthalmology,06:00,12:00,"Sat,Sun,Mon,Tue,Wed",Morning,15,30
DOC115,General Surgery,Dr. Reshma Siddique,Female,"MBBS, MS",drreshmasiddique@bmh.com,+91 9454429140,General Surgery,00:00,06:00,"Mon,Tue,Wed,Thu,Fri",Night,15,30
DOC116,General Surgery,Dr. Jitin Ibrahim,Male,"MBBS, MS",drjitinibrahim@bmh.com,+91 7051668298,General Surgery,06:00,12:00,"Tue,Wed,Thu,Fri,Sat",Morning,15,30
DOC117,Women's Care (Obstetrics & Gynaecology),Dr. George Rahman,Male,"MBBS, MD",drgeorgerahman@bmh.com,+91 7785809302,Women's Care (Obstetrics & Gynaecology),12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC118,Cardiology,Dr. Abhilash Panicker,Male,"MBBS, MD, DM",drabhilashpanicker@bmh.com,+91 8980531278,Cardiology,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC119,Psychiatry,Dr. Sebastian Samuel,Male,"MBBS, MS",drsebastiansamuel@bmh.com,+91 8545401819,Psychiatry,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC120,General Surgery,Dr. Rahul Joseph,Male,"MBBS, MS",drrahuljoseph@bmh.com,+91 8214317200,General Surgery,12:00,18:00,"Wed,Thu,Fri,Sat,Sun",Afternoon,15,30
DOC121,Emergency,Dr. Reshma Thomas,Female,"MBBS, MD",drreshmathomas@bmh.com,+91 7608251138,Emergency,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC122,Urology,Dr. Siddharth Kurup,Male,"MBBS, MD",drsiddharthkurup@bmh.com,+91 8715992936,Urology,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC123,General Medicine,Dr. Arjun Nambiar,Male,"MBBS, MD",drarjunnambiar@bmh.com,+91 7504527916,General Medicine,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC124,Child Care (Paediatrics),Dr. Devika Faisal,Female,"MBBS, MD",drdevikafaisal@bmh.com,+91 7261940606,Child Care (Paediatrics),00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC125,Pathology,Dr. Leelamma Chacko,Female,"MBBS, MD",drleelammachacko@bmh.com,+91 9099542247,Pathology,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC126,General Medicine,Dr. Mary Philip,Female,"MBBS, MD",drmaryphilip@bmh.com,+91 8458391513,General Medicine,18:00,23:59,"Sun,Mon,Tue,Wed,Thu",Evening,15,30
DOC127,Anaesthesiology,Dr. Thomas Nair,Male,"MBBS, MD",drthomasnair@bmh.com,+91 9601686186,Anaesthesiology,00:00,06:00,"Thu,Fri,Sat,Sun,Mon",Night,15,30
DOC128,Emergency,Dr. Reshma Nambiar,Female,"MBBS, MD",drreshmanambiar@bmh.com,+91 8448823138,Emergency,12:00,18:00,"Sat,Sun,Mon,Tue,Wed",Afternoon,15,30
DOC129,Women's Care (Obstetrics & Gynaecology),Dr. Ann Menon,Female,"MBBS, MD",drannmenon@bmh.com,+91 9995987198,Women's Care (Obstetrics & Gynaecology),18:00,23:59,"Sun,Mon,Tue,Wed,Thu",Evening,15,30
DOC130,Anaesthesiology,Dr. Thomas Pillai,Male,"MBBS, MD",drthomaspillai@bmh.com,+91 7115959327,Anaesthesiology,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC131,Orthopaedics,Dr. Deepak Menon,Male,"MBBS, MD",drdeepakmenon@bmh.com,+91 9718119066,Orthopaedics,06:00,12:00,"Fri,Sat,Sun,Mon,Tue",Morning,15,30
DOC132,General Medicine,Dr. Reshma Joseph,Female,"MBBS, MD",drreshmajoseph@bmh.com,+91 9480202809,General Medicine,00:00,06:00,"Mon,Tue,Wed,Thu,Fri",Night,15,30
